timestamp,segment,distance_desc,distance_cm
1787717556.614,soft_fabric_15cm,pillow or folded blanket at ~15cm (inside STOP_THRESHOLD_CM=20),16.3
1787717564.124,soft_fabric_30cm,pillow or folded blanket at ~30cm (inside RESUME_THRESHOLD_CM=35),31.1
1787717564.324,soft_fabric_30cm,pillow or folded blanket at ~30cm (inside RESUME_THRESHOLD_CM=35),31.3
1787717564.525,soft_fabric_30cm,pillow or folded blanket at ~30cm (inside RESUME_THRESHOLD_CM=35),32.4
1787717564.725,soft_fabric_30cm,pillow or folded blanket at ~30cm (inside RESUME_THRESHOLD_CM=35),32.4
1787717564.925,soft_fabric_30cm,pillow or folded blanket at ~30cm (inside RESUME_THRESHOLD_CM=35),31.9
1787717565.126,soft_fabric_30cm,pillow or folded blanket at ~30cm (inside RESUME_THRESHOLD_CM=35),31.8
1787717565.326,soft_fabric_30cm,pillow or folded blanket at ~30cm (inside RESUME_THRESHOLD_CM=35),31.6
1787717565.527,soft_fabric_30cm,pillow or folded blanket at ~30cm (inside RESUME_THRESHOLD_CM=35),30.5
1787717565.727,soft_fabric_30cm,pillow or folded blanket at ~30cm (inside RESUME_THRESHOLD_CM=35),30.5
1787717565.928,soft_fabric_30cm,pillow or folded blanket at ~30cm (inside RESUME_THRESHOLD_CM=35),30.0
1787717566.128,soft_fabric_30cm,pillow or folded blanket at ~30cm (inside RESUME_THRESHOLD_CM=35),30.0
1787717566.329,soft_fabric_30cm,pillow or folded blanket at ~30cm (inside RESUME_THRESHOLD_CM=35),31.0
1787717566.529,soft_fabric_30cm,pillow or folded blanket at ~30cm (inside RESUME_THRESHOLD_CM=35),31.0
1787717566.729,soft_fabric_30cm,pillow or folded blanket at ~30cm (inside RESUME_THRESHOLD_CM=35),31.0
1787717566.930,soft_fabric_30cm,pillow or folded blanket at ~30cm (inside RESUME_THRESHOLD_CM=35),30.5
1787717567.130,soft_fabric_30cm,pillow or folded blanket at ~30cm (inside RESUME_THRESHOLD_CM=35),30.4
1787717567.331,soft_fabric_30cm,pillow or folded blanket at ~30cm (inside RESUME_THRESHOLD_CM=35),30.5
1787717567.531,soft_fabric_30cm,pillow or folded blanket at ~30cm (inside RESUME_THRESHOLD_CM=35),30.5
1787717567.731,soft_fabric_30cm,pillow or folded blanket at ~30cm (inside RESUME_THRESHOLD_CM=35),30.5
1787717567.932,soft_fabric_30cm,pillow or folded blanket at ~30cm (inside RESUME_THRESHOLD_CM=35),30.3
1787717568.132,soft_fabric_30cm,pillow or folded blanket at ~30cm (inside RESUME_THRESHOLD_CM=35),30.0
1787717568.333,soft_fabric_30cm,pillow or folded blanket at ~30cm (inside RESUME_THRESHOLD_CM=35),29.9
1787717568.533,soft_fabric_30cm,pillow or folded blanket at ~30cm (inside RESUME_THRESHOLD_CM=35),29.7
1787717568.734,soft_fabric_30cm,pillow or folded blanket at ~30cm (inside RESUME_THRESHOLD_CM=35),29.4
1787717568.934,soft_fabric_30cm,pillow or folded blanket at ~30cm (inside RESUME_THRESHOLD_CM=35),28.2
1787717569.134,soft_fabric_30cm,pillow or folded blanket at ~30cm (inside RESUME_THRESHOLD_CM=35),28.8
1787717569.335,soft_fabric_30cm,pillow or folded blanket at ~30cm (inside RESUME_THRESHOLD_CM=35),29.9
1787717569.535,soft_fabric_30cm,pillow or folded blanket at ~30cm (inside RESUME_THRESHOLD_CM=35),30.0
1787717569.735,soft_fabric_30cm,pillow or folded blanket at ~30cm (inside RESUME_THRESHOLD_CM=35),29.9
1787717569.936,soft_fabric_30cm,pillow or folded blanket at ~30cm (inside RESUME_THRESHOLD_CM=35),30.0
1787717570.136,soft_fabric_30cm,pillow or folded blanket at ~30cm (inside RESUME_THRESHOLD_CM=35),30.0
1787717570.337,soft_fabric_30cm,pillow or folded blanket at ~30cm (inside RESUME_THRESHOLD_CM=35),30.0
1787717570.537,soft_fabric_30cm,pillow or folded blanket at ~30cm (inside RESUME_THRESHOLD_CM=35),30.0
1787717570.737,soft_fabric_30cm,pillow or folded blanket at ~30cm (inside RESUME_THRESHOLD_CM=35),30.0
1787717570.938,soft_fabric_30cm,pillow or folded blanket at ~30cm (inside RESUME_THRESHOLD_CM=35),30.0
1787717571.138,soft_fabric_30cm,pillow or folded blanket at ~30cm (inside RESUME_THRESHOLD_CM=35),30.0
1787717571.338,soft_fabric_30cm,pillow or folded blanket at ~30cm (inside RESUME_THRESHOLD_CM=35),30.0
1787717571.539,soft_fabric_30cm,pillow or folded blanket at ~30cm (inside RESUME_THRESHOLD_CM=35),30.7
1787717571.739,soft_fabric_30cm,pillow or folded blanket at ~30cm (inside RESUME_THRESHOLD_CM=35),30.8
1787717571.940,soft_fabric_30cm,pillow or folded blanket at ~30cm (inside RESUME_THRESHOLD_CM=35),30.8
1787717572.140,soft_fabric_30cm,pillow or folded blanket at ~30cm (inside RESUME_THRESHOLD_CM=35),30.8
1787717572.340,soft_fabric_30cm,pillow or folded blanket at ~30cm (inside RESUME_THRESHOLD_CM=35),30.7
1787717572.541,soft_fabric_30cm,pillow or folded blanket at ~30cm (inside RESUME_THRESHOLD_CM=35),30.7
1787717572.741,soft_fabric_30cm,pillow or folded blanket at ~30cm (inside RESUME_THRESHOLD_CM=35),30.7
1787717572.942,soft_fabric_30cm,pillow or folded blanket at ~30cm (inside RESUME_THRESHOLD_CM=35),30.3
1787717573.142,soft_fabric_30cm,pillow or folded blanket at ~30cm (inside RESUME_THRESHOLD_CM=35),30.2
1787717573.343,soft_fabric_30cm,pillow or folded blanket at ~30cm (inside RESUME_THRESHOLD_CM=35),30.2
1787717573.543,soft_fabric_30cm,pillow or folded blanket at ~30cm (inside RESUME_THRESHOLD_CM=35),29.7
1787717573.743,soft_fabric_30cm,pillow or folded blanket at ~30cm (inside RESUME_THRESHOLD_CM=35),29.6
1787717573.944,soft_fabric_30cm,pillow or folded blanket at ~30cm (inside RESUME_THRESHOLD_CM=35),28.8
1787717611.322,angled_hard_30cm,hard flat surface tilted ~30-45deg off perpendicular at ~30cm,30.0
1787717611.523,angled_hard_30cm,hard flat surface tilted ~30-45deg off perpendicular at ~30cm,30.0
1787717611.723,angled_hard_30cm,hard flat surface tilted ~30-45deg off perpendicular at ~30cm,30.0
