timestamp,distance_mm,status
1787710785.406,551,Range Valid
1787710785.620,534,Range Valid
1787710785.833,528,Range Valid
1787710786.049,475,Range Valid
1787710786.263,431,Range Valid
1787710786.477,375,Range Valid
1787710786.690,368,Range Valid
1787710786.904,362,Range Valid
1787710787.118,347,Range Valid
1787710787.331,348,Range Valid
1787710787.542,339,Range Valid
1787710787.753,334,Range Valid
1787710787.964,333,Range Valid
1787710788.178,327,Range Valid
1787710788.391,306,Range Valid
1787710788.601,311,Range Valid
1787710788.815,312,Range Valid
1787710789.026,299,Range Valid
1787710789.238,290,Range Valid
1787710789.452,296,Range Valid
1787710789.666,285,Range Valid
1787710789.880,283,Range Valid
1787710790.094,272,Range Valid
1787710790.306,267,Range Valid
1787710790.519,265,Range Valid
1787710790.730,252,Range Valid
1787710790.944,254,Range Valid
1787710791.158,250,Range Valid
1787710791.372,236,Range Valid
1787710791.583,230,Range Valid
1787710791.793,227,Range Valid
1787710792.003,226,Range Valid
1787710792.216,219,Range Valid
1787710792.430,223,Range Valid
1787710792.642,213,Range Valid
1787710792.855,213,Range Valid
1787710793.069,212,Range Valid
1787710793.281,212,Range Valid
1787710793.493,203,Range Valid
1787710793.705,200,Range Valid
1787710793.918,200,Range Valid
1787710794.131,202,Range Valid
1787710794.345,203,Range Valid
1787710794.556,202,Range Valid
1787710794.767,200,Range Valid
1787710794.979,201,Range Valid
1787710795.191,204,Range Valid
1787710795.404,197,Range Valid
1787710795.618,199,Range Valid
1787710795.829,206,Range Valid
1787710796.040,205,Range Valid
1787710796.254,205,Range Valid
1787710796.534,202,Range Valid
1787710796.744,199,Range Valid
1787710796.958,203,Range Valid
1787710797.168,205,Range Valid
